County,School District,Use Elementary School District,Code Number
Nassau,Glen Cove,,224
Nassau,Great Neck,,234
Nassau,Hempstead,,265
Nassau,Herricks,,270
Nassau,Hewlett-Woodmere,,272
Nassau,Hicksville,,273
Nassau,Island Park,,302
Nassau,Island Trees,,303
Nassau,Jericho,,311
Nassau,Lawrence,,337
Nassau,Levittown,,340
Nassau,Locust Valley,,352
Nassau,Long Beach,,353
Nassau,Lynbrook,,357
Nassau,Malverne,,366
Nassau,Manhasset,,368
Nassau,Massapequa,,379
Nassau,Merrick,,389
Nassau,Mineola,,398
Nassau,New Hyde Park-Garden City Park,,425
Nassau,North Bellmore,,441
Nassau,North Merrick,,444
Nassau,North Shore,,448
Nassau,Oceanside,,459
Nassau,Oyster Bay-East Norwich,,476
Nassau,Plainedge,,501
Nassau,Plainview-Old Bethpage,,502
Nassau,Port Washington,,511
Nassau,Rockville Centre,,539
Nassau,Roosevelt,,544
Nassau,Roslyn,,546
Nassau,Seaford,,577
Nassau,Sewanhaka CHS,Floral Park - Bellrose,195
Nassau,Sewanhaka CHS,New Hyde Park - Garden City,424
Nassau,Sewanhaka CHS,Franklin Square,204
Nassau,Sewanhaka CHS,Elmont,184
Nassau,Syosset,,630
Nassau,Uniondale,,652
Nassau,Valley Stream CHS,Valley Stream 13,655
Nassau,Valley Stream CHS,Valley Stream 24,656
Nassau,Valley Stream CHS,Valley Stream 30,657
Nassau,Wantagh,,664
Nassau,Westbury,,691
Nassau,West Hempstead,,687
New York (Manhattan),Manhattan,,369
Niagara,Akron,,004
Niagara,Barker,,035
Niagara,Lewiston-Porter,,341
Niagara,Lockport,,351
Niagara,Medina,,387
Niagara,Newfane,,435
Niagara,Niagara Falls,,437
Niagara,Niagara Wheatfield,,438
Niagara,North Tonawanda,,450
Niagara,Royalton-Hartland,,548
Niagara,Starpoint,,621
Niagara,Wilson,,708
Oneida,Adirondack,,002
Oneida,Brookfield,,070
Oneida,Camden,,079
Oneida,Central Square,,098
Oneida,Clinton,,117
Oneida,Holland Patent,,279
Oneida,Madison,,361
Oneida,Mount Markham,,412
Oneida,New Hartford,,424
Oneida,New York Mills,,430
Oneida,Oneida,,463
Oneida,Oriskany,,469
Oneida,Poland,,506
Oneida,Remsen,,528
Oneida,Rome,,541
Oneida,Sauquoit Valley,,564
Oneida,Stockbridge Valley,,624
Oneida,Town of Webb,,639
Oneida,Utica,,653
Oneida,Vernon-Verona-Sherrill,,584
Oneida,Waterville,,673
Oneida,West Canada Valley,,685
Oneida,Westmoreland,,695
Oneida,Whitesboro,,701
Onondaga,Baldwinsville,,033
Onondaga,Cato Meridian,,092
Onondaga,Cazenovia,,095
Onondaga,Central Square,,098
Onondaga,Chittenango,,111
Onondaga,DeRuyter,,141
Onondaga,East Syracuse-Minoa,,167
Onondaga,Fabius-Pompey,,187
Onondaga,Fayetteville-Manlius,,370
Onondaga,Homer,,281
Onondaga,Jamesville-Dewitt,,307
Onondaga,Jordan Elbridge,,315
Onondaga,LaFayette,,325
Onondaga,Liverpool,,348
Onondaga,Lyncourt,,358
Onondaga,Marcellus,,373
Onondaga,Moravia,,407
Onondaga,North Syracuse,,449
Onondaga,Onondaga,,465
Onondaga,Phoenix,,494
Onondaga,Skaneateles,,588
Onondaga,Solvay,,593
Onondaga,Syracuse,,631
Onondaga,Tully,,646
Onondaga,West Genesee,,686
Onondaga,Westhill,,694
Ontario,Bloomfield,,157
Ontario,Canandaigua,,082
Ontario,Geneva,,219
Ontario,Honeoye,,282
Ontario,Honeoye Falls-Lima,,283
Ontario,Livonia,,350
Ontario,Lyons,,360
Ontario,Manchester-Shortsville (Red Jacket),,527
Ontario,Marcus Whitman,,374
Ontario,Naples,,420
Ontario,Newark,,431
Ontario,Palmyra-Macedon,,478
Ontario,Penn Yan,,489
Ontario,Phelps-Clifton Springs (Midlakes),,493
